# doc	doi
291	10.2307/2407001
292	10.2307/4353746
293	10.2307/4440084
294	10.2307/2405610
295	10.2307/1743615
296	10.2307/2433866
297	10.2307/1292603
298	10.2307/2406286
299	10.2307/2471834
300	10.2307/1217806
301	10.2307/1217807
302	10.2307/2256048
303	10.2307/2809762
304	10.2307/2805250
305	10.2307/2440599
306	10.2307/4180003
307	10.2307/2430090
308	10.2307/2805358
309	10.2307/2439770
310	10.2307/2257666
311	10.2307/1217247
312	10.2307/1218689
313	10.2307/1218688
314	10.2307/2430143
315	10.2307/1217249
316	10.2307/1670335
317	10.2307/1670334
318	10.2307/2406194
319	10.2307/1748148
320	10.2307/23305452
321	10.2307/2429220
322	10.2307/1741433
323	10.2307/1789144
324	10.2307/2483879
325	10.2307/1141712
326	10.2307/2459191
327	10.2307/2406109
328	10.2307/2817694
329	10.2307/3277950
330	10.2307/1293117
331	10.2307/2437162
332	10.2307/1936542
333	10.2307/4353229
334	10.2307/2420851
335	10.2307/1684163
336	10.2307/1658697
337	10.2307/1684049
338	10.2307/2256640
339	10.2307/2406403
340	10.2307/1291989
341	10.2307/4353410
342	10.2307/2429549
343	10.2307/1216371
344	10.2307/1752529
345	10.2307/1752528
346	10.2307/2430169
347	10.2307/1752527
348	10.2307/2405503
349	10.2307/2257132
350	10.2307/3224419
351	10.2307/1293700
352	10.2307/23302134
353	10.2307/2429790
354	10.2307/2428701
355	10.2307/23311574
356	10.2307/2428707
357	10.2307/1220652
358	10.2307/1219603
359	10.2307/2406497
360	10.2307/2439724
361	10.2307/2430280
362	10.2307/2805241
363	10.2307/2436717
364	10.2307/2257454
365	10.2307/4108217
366	10.2307/1677860
367	10.2307/2406635
368	10.2307/3758464
369	10.2307/2256884
370	10.2307/2429862
371	10.2307/2429645
372	10.2307/1932225
373	10.2307/2416958
374	10.2307/2438119
375	10.2307/2438113
376	10.2307/41422525
377	10.2307/2436809
378	10.2307/41421955
379	10.2307/41421952
380	10.2307/1220544
381	10.2307/2804698
382	10.2307/2405867
383	10.2307/2441260
384	10.2307/2804693
385	10.2307/2813544
386	10.2307/23311597
387	10.2307/2428680
388	10.2307/1216701
389	10.2307/984692
390	10.2307/4353327
391	10.2307/1943577
392	10.2307/2817367
393	10.2307/2483998
394	10.2307/1931410
395	10.2307/1706749
396	10.2307/2430653
397	10.2307/1666702
