# date	jtitle
96	10.2307/2428098	1927	NEW PHYTOLOGIST
97	10.2307/1934044	1970	ECOLOGY
98	10.2307/4353158	1937	BOTANICAL REVIEW
99	10.2307/4353159	1937	BOTANICAL REVIEW
100	10.2307/2440393	1969	AMERICAN JOURNAL OF BOTANY
101	10.2307/1746283	1978	SCIENCE
102	10.2307/2429543	1961	NEW PHYTOLOGIST
103	10.2307/2429542	1961	NEW PHYTOLOGIST
104	10.2307/1936952	1979	ECOLOGY
105	10.2307/3897566	1979	JOURNAL OF RANGE MANAGEMENT
106	10.2307/2429549	1961	NEW PHYTOLOGIST
107	10.2307/1550326	1974	ARCTIC AND ALPINE RESEARCH
108	10.2307/1934296	1972	ECOLOGY
109	10.2307/2459880	1976	THE AMERICAN NATURALIST
110	10.2307/2429374	1964	NEW PHYTOLOGIST
111	10.2307/1218377	1969	TAXON
112	10.2307/2258520	1970	JOURNAL OF ECOLOGY
113	10.2307/2256943	1957	JOURNAL OF ECOLOGY
114	10.2307/2458766	1960	THE AMERICAN NATURALIST
115	10.2307/1740501	1975	SCIENCE
116	10.2307/1712862	1964	SCIENCE
117	10.2307/2433839	1978	NEW PHYTOLOGIST
118	10.2307/1292672	1958	AIBS BULLETIN
119	10.2307/1716858	1965	SCIENCE
120	10.2307/3952046	1967	SCIENCE NEWS
121	10.2307/2442347	1980	AMERICAN JOURNAL OF BOTANY
122	10.2307/1936642	1978	ECOLOGY
123	10.2307/2424833	1978	AMERICAN MIDLAND NATURALIST
124	10.2307/2439815	1966	AMERICAN JOURNAL OF BOTANY
125	10.2307/1550503	1980	ARCTIC AND ALPINE RESEARCH
126	10.2307/1943577	1956	ECOLOGICAL MONOGRAPHS
127	10.2307/1936884	1979	ECOLOGY
128	10.2307/2804945	1958	BRITTONIA
129	10.2307/2434268	1980	NEW PHYTOLOGIST
130	10.2307/2434078	1980	NEW PHYTOLOGIST
131	10.2307/2805491	1973	BRITTONIA
132	10.2307/2402534	1979	JOURNAL OF APPLIED ECOLOGY
133	10.2307/3565089	1962	OIKOS
134	10.2307/2474681	1979	BOTANICAL GAZETTE
135	10.2307/2442005	1977	AMERICAN JOURNAL OF BOTANY
136	10.2307/2402537	1979	JOURNAL OF APPLIED ECOLOGY
137	10.2307/1716859	1965	SCIENCE
138	10.2307/2434151	1979	NEW PHYTOLOGIST
139	10.2307/2805368	1966	BRITTONIA
140	10.2307/2988111	1980	JOURNAL OF THE ROYAL STATISTICAL SOCIETY. SERIES D (THE STATISTICIAN)
141	10.2307/1805	1957	JOURNAL OF ANIMAL ECOLOGY
142	10.2307/2388160	1980	BIOTROPICA
143	10.2307/2402188	1975	JOURNAL OF APPLIED ECOLOGY
144	10.2307/2989767	1970	BIOTROPICA
145	10.2307/2402266	1976	JOURNAL OF APPLIED ECOLOGY
146	10.2307/1716414	1965	SCIENCE
147	10.2307/1716413	1965	SCIENCE
148	10.2307/1716412	1965	SCIENCE
149	10.2307/2472453	1948	BOTANICAL GAZETTE
150	10.2307/2433840	1978	NEW PHYTOLOGIST
151	10.2307/1218530	1971	TAXON
152	10.2307/20166140	1978	BULLETIN OF THE ECOLOGICAL SOCIETY OF AMERICA
153	10.2307/2473466	1964	BOTANICAL GAZETTE
154	10.2307/1352066	1980	ESTUARIES
155	10.2307/2406420	1964	EVOLUTION
156	10.2307/1948439	1967	ECOLOGICAL MONOGRAPHS
157	10.2307/4445103	1975	THE AMERICAN BIOLOGY TEACHER
158	10.2307/1935391	1970	ECOLOGY
159	10.2307/1218596	1971	TAXON
160	10.2307/1218595	1971	TAXON
161	10.2307/1218594	1971	TAXON
162	10.2307/1218592	1969	TAXON
163	10.2307/4260909	1966	PLANT PHYSIOLOGY
164	10.2307/1934707	1975	ECOLOGY
165	10.2307/2096874	1976	ANNUAL REVIEW OF ECOLOGY AND SYSTEMATICS
166	10.2307/2484171	1980	BULLETIN OF THE TORREY BOTANICAL CLUB
167	10.2307/1218212	1972	TAXON
168	10.2307/1218213	1972	TAXON
169	10.2307/2560377	1968	BOTANICAL GAZETTE
170	10.2307/2431365	1969	NEW PHYTOLOGIST
171	10.2307/2819161	1963	THE QUARTERLY REVIEW OF BIOLOGY
172	10.2307/1219063	1970	TAXON
173	10.2307/2406946	1971	EVOLUTION
174	10.2307/2429508	1954	NEW PHYTOLOGIST
175	10.2307/2823991	1980	THE QUARTERLY REVIEW OF BIOLOGY
176	10.2307/2255991	1927	JOURNAL OF ECOLOGY
177	10.2307/4179968	1977	FOLIA GEOBOTANICA & PHYTOTAXONOMICA
178	10.2307/2473708	1979	BOTANICAL GAZETTE
179	10.2307/2257030	1955	JOURNAL OF ECOLOGY
180	10.2307/2816915	1961	THE QUARTERLY REVIEW OF BIOLOGY
181	10.2307/2430251	1969	NEW PHYTOLOGIST
182	10.2307/2438350	1957	AMERICAN JOURNAL OF BOTANY
183	10.2307/2473722	1979	BOTANICAL GAZETTE
184	10.2307/2480027	1926	BULLETIN OF THE TORREY BOTANICAL CLUB
185	10.2307/2429284	1956	NEW PHYTOLOGIST
186	10.2307/2429220	1959	NEW PHYTOLOGIST
187	10.2307/1216308	1964	TAXON
188	10.2307/2429285	1956	NEW PHYTOLOGIST
189	10.2307/27838980	1964	AMERICAN SCIENTIST
190	10.2307/2440768	1967	AMERICAN JOURNAL OF BOTANY
191	10.2307/1216498	1968	TAXON
192	10.2307/985149	1959	PROCEEDINGS OF THE AMERICAN PHILOSOPHICAL SOCIETY
193	10.2307/1948565	1969	ECOLOGICAL MONOGRAPHS
194	10.2307/4179778	1974	FOLIA GEOBOTANICA & PHYTOTAXONOMICA
195	10.2307/2418468	1977	SYSTEMATIC BOTANY
196	10.2307/1220544	1976	TAXON
197	10.2307/2258550	1970	JOURNAL OF ECOLOGY
198	10.2307/2474067	1976	BOTANICAL GAZETTE
199	10.2307/2402243	1976	JOURNAL OF APPLIED ECOLOGY
200	10.2307/1933894	1969	ECOLOGY
201	10.2307/4115801	1966	KEW BULLETIN
202	10.2307/1731244	1970	SCIENCE
203	10.2307/1216380	1967	TAXON
204	10.2307/76181	1972	PROCEEDINGS OF THE ROYAL SOCIETY OF LONDON. SERIES B, BIOLOGICAL SCIENCES
205	10.2307/2433867	1978	NEW PHYTOLOGIST
206	10.2307/4103136	1971	KEW BULLETIN
207	10.2307/4253100	1969	ECONOMIC BOTANY
208	10.2307/41423233	1966	MADRONO
209	10.2307/19606	1949	THE SCIENTIFIC MONTHLY
210	10.2307/2989765	1970	BIOTROPICA
211	10.2307/1293243	1964	BIOSCIENCE
212	10.2307/2440696	1966	AMERICAN JOURNAL OF BOTANY
213	10.2307/41423809	1972	MADRONO
214	10.2307/2471834	1934	BOTANICAL GAZETTE
215	10.2307/1217806	1961	TAXON
216	10.2307/1217807	1961	TAXON
217	10.2307/769446	1968	BIOGRAPHICAL MEMOIRS OF FELLOWS OF THE ROYAL SOCIETY
218	10.2307/2395295	1977	ANNALS OF THE MISSOURI BOTANICAL GARDEN
219	10.2307/1550366	1974	ARCTIC AND ALPINE RESEARCH
220	10.2307/1716860	1965	SCIENCE
221	10.2307/2430461	1967	NEW PHYTOLOGIST
222	10.2307/2402285	1976	JOURNAL OF APPLIED ECOLOGY
223	10.2307/2431793	1980	NEW PHYTOLOGIST
224	10.2307/2431792	1980	NEW PHYTOLOGIST
225	10.2307/2431796	1980	NEW PHYTOLOGIST
226	10.2307/621424	1966	TRANSACTIONS OF THE INSTITUTE OF BRITISH GEOGRAPHERS
227	10.2307/2434267	1980	NEW PHYTOLOGIST
228	10.2307/20165515	1959	BULLETIN OF THE ECOLOGICAL SOCIETY OF AMERICA
229	10.2307/1218603	1971	TAXON
230	10.2307/2433589	1972	NEW PHYTOLOGIST
231	10.2307/4180085	1979	FOLIA GEOBOTANICA & PHYTOTAXONOMICA
232	10.2307/2257588	1966	JOURNAL OF ECOLOGY
233	10.2307/58426	1968	PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA
234	10.2307/2428512	1931	NEW PHYTOLOGIST
235	10.2307/2460177	1978	THE AMERICAN NATURALIST
236	10.2307/1217247	1965	TAXON
237	10.2307/41423180	1965	MADRONO
238	10.2307/1217249	1965	TAXON
239	10.2307/2395189	1974	ANNALS OF THE MISSOURI BOTANICAL GARDEN
240	10.2307/2395188	1974	ANNALS OF THE MISSOURI BOTANICAL GARDEN
