10.2307/2483065	1960		BULLETIN OF THE TORREY BOTANICAL CLUB
10.2307/75304	1960	FUTURE RESEARCH IN THE SOUTHERN COLD TEMPERATE ZONE	PROCEEDINGS OF THE ROYAL SOCIETY OF LONDON. SERIES B, BIOLOGICAL SCIENCES
10.2307/1292672	1958	GENERAL PROGRAM. MEETING OF BIOLOGICAL SOCIETIES. INDIANA UNIVERSITY, BLOOMINGTON, INDIANA AUGUST 24-28, 1958	AIBS BULLETIN
10.2307/2815610	1958		THE QUARTERLY REVIEW OF BIOLOGY
10.2307/2406093	1956	POLLEN DIMORPHISM IN THE RUBIACEAE	EVOLUTION
10.2307/4353582	1958	PRINCIPLES CONCERNED IN THE FORMATION AND CLASSIFICATION OF COMMUNITIES	BOTANICAL REVIEW
10.2307/2407001	1956	INTERSPECIFIC HYBRIDS IN NEW ZEALAND AGROPYRON	EVOLUTION
10.2307/985149	1959	DARWIN'S VIEWS ON VARIATION UNDER DOMESTICATION IN THE LIGHT OF PRESENT-DAY KNOWLEDGE	PROCEEDINGS OF THE AMERICAN PHILOSOPHICAL SOCIETY
10.2307/2429220	1959	POPULATION DIFFERENTIATION IN AGROSTIS TENUIS SIBTH I. MORPHOLOGICA DIFFERENTIATION	NEW PHYTOLOGIST
10.2307/40025026	1959	SUMMATION: SPECIFIC AND INFRASPECIFIC VARIATION	JOURNAL OF THE ARIZONA ACADEMY OF SCIENCE
10.2307/2256969	1957	THE WINTER AND ANNUAL GENERAL MEETINGS JANUARY 7TH AND 8TH, 1957	JOURNAL OF ECOLOGY
10.2307/2406109	1959	POPULATION STUDIES ON VIOLA LACTEA SM. AND ITS WILD HYBRIDS	EVOLUTION
10.2307/1752529	1956		SCIENCE
10.2307/1752528	1956		SCIENCE
10.2307/1752527	1956		SCIENCE
10.2307/1805	1957	SPRING MEETING, LONDON	JOURNAL OF ANIMAL ECOLOGY
10.2307/2429862	1956	CORRELATED CHARACTERS IN POPULATION STUDIES	NEW PHYTOLOGIST
10.2307/2405867	1958	HYBRIDIZATION BETWEEN DIOECIOUS AND HERMAPHRODITE SPECIES IN THE CARYOPHYLLACEAE	EVOLUTION
10.2307/1943577	1956	VEGETATION OF THE GREAT SMOKY MOUNTAINS	ECOLOGICAL MONOGRAPHS
10.2307/2817367	1956		THE QUARTERLY REVIEW OF BIOLOGY
10.2307/1706749	1960	A COMPUTER PROGRAM FOR CLASSIFYING PLANTS	SCIENCE
10.2307/2470705	1927	INVESTIGATION OF "GLACIAL RELICS."	BOTANICAL GAZETTE
10.2307/2480027	1926	THE MARSILEAS OF THE WESTERN UNITED STATES	BULLETIN OF THE TORREY BOTANICAL CLUB
