0.00000000000000e+00 1.000e+00
-7.41636120798664e+06   inf
-6.95324391739138e+06 6.245e-02
-6.80032042045312e+06 2.199e-02
-6.68845861504451e+06 1.645e-02
-6.57045318628838e+06 1.764e-02
-6.48779374353730e+06 1.258e-02
-6.42339559867875e+06 9.926e-03
-6.34093421217051e+06 1.284e-02
-6.27600513264340e+06 1.024e-02
-6.22250332412748e+06 8.525e-03
-6.17309658039463e+06 7.940e-03
-6.12825302461457e+06 7.264e-03
-6.08487586954922e+06 7.078e-03
-6.04709412331305e+06 6.209e-03
-6.01367171961785e+06 5.527e-03
-5.98228777411275e+06 5.219e-03
-5.95641865843888e+06 4.324e-03
-5.93024684613659e+06 4.394e-03
-5.90602974775975e+06 4.084e-03
-5.88549671139507e+06 3.477e-03
